COUNTRY,Year,School age population (thousands),% urban,% primary,% secondary,national_basic,national_limited,national_no,PRIMARY_basic,PRIMARY_limited,PRIMARY_no,SECONDARY_basic,SECONDARY_limited,SECONDARY_no,WHO Region,UNICEF Programme Region,UNICEF Reporting Regions,SDG region
Belarus,2016.0,1359,77.0,29.0,45.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,3,4,4,Europe and Northern America
Belarus,2017.0,1382,78.0,29.0,45.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,3,4,4,Europe and Northern America
Belarus,2018.0,1412,78.0,30.0,44.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,3,4,4,Europe and Northern America
Belarus,2019.0,1446,79.0,30.0,44.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,3,4,4,Europe and Northern America
Belarus,2021.0,1490,79.0,31.0,44.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,3,4,4,Europe and Northern America
Belize,2016.0,107,45.0,42.0,43.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Belize,2017.0,108,45.0,42.0,43.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Belize,2018.0,108,45.0,42.0,43.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Belize,2019.0,108,45.0,42.0,43.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Belize,2021.0,107,46.0,42.0,42.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Benin,2016.0,4061,46.0,42.0,41.0,42.0,29.0,27.0,42.0,31.0,25.0,71.16756756756757,16.292857142857144,34.0,1,5,2,Sub-Saharan Africa
Benin,2017.0,4165,46.0,42.0,41.0,42.0,36.0,20.0,42.0,38.0,18.0,71.16756756756757,16.292857142857144,30.0,1,5,2,Sub-Saharan Africa
Benin,2018.0,4270,47.0,42.0,41.0,42.0,36.0,20.0,42.0,38.0,18.0,71.16756756756757,16.292857142857144,26.0,1,5,2,Sub-Saharan Africa
Benin,2019.0,4377,47.0,42.0,41.0,42.0,36.0,20.0,42.0,38.0,18.0,71.16756756756757,16.292857142857144,23.0,1,5,2,Sub-Saharan Africa
Benin,2021.0,4584,48.0,42.0,41.0,42.0,36.0,20.0,42.0,38.0,18.0,71.16756756756757,16.292857142857144,15.0,1,5,2,Sub-Saharan Africa
Bhutan,2016.0,206,39.0,45.0,42.0,63.0,26.0,9.0,58.0,30.0,11.0,63.0,29.0,7.0,4,0,0,Central and Southern Asia
Bhutan,2017.0,203,40.0,45.0,42.0,65.0,24.0,9.0,58.0,30.0,11.0,63.0,29.0,7.0,4,0,0,Central and Southern Asia
Bhutan,2018.0,200,40.0,45.0,42.0,67.0,23.0,9.0,58.0,30.0,11.0,63.0,29.0,7.0,4,0,0,Central and Southern Asia
Bhutan,2019.0,198,41.0,45.0,42.0,69.0,21.0,9.0,58.0,30.0,11.0,63.0,29.0,7.0,4,0,0,Central and Southern Asia
Bhutan,2021.0,192,43.0,45.0,42.0,72.0,19.0,8.0,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,4,0,0,Central and Southern Asia
Bolivia (Plurinational State of),2016.0,3235,68.0,43.0,42.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Bolivia (Plurinational State of),2017.0,3245,69.0,43.0,42.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Bolivia (Plurinational State of),2018.0,3255,69.0,43.0,42.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Bolivia (Plurinational State of),2019.0,3262,69.0,43.0,42.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Bolivia (Plurinational State of),2021.0,3276,70.0,43.0,42.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Botswana,2016.0,710,67.0,47.0,30.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,1,2,2,Sub-Saharan Africa
Botswana,2017.0,723,68.0,47.0,30.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,1,2,2,Sub-Saharan Africa
Botswana,2018.0,737,69.0,47.0,30.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,1,2,2,Sub-Saharan Africa
Botswana,2019.0,750,70.0,47.0,30.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,1,2,2,Sub-Saharan Africa
Botswana,2021.0,775,71.0,47.0,30.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,1,2,2,Sub-Saharan Africa
Burkina Faso,2016.0,7913,28.0,39.0,37.0,52.0,5.0,42.0,56.0,14.201149425287356,43.0,41.0,24.0,34.0,1,5,2,Sub-Saharan Africa
Burkina Faso,2017.0,8137,28.0,39.0,37.0,53.0,5.0,40.0,58.0,14.201149425287356,41.0,42.0,22.0,35.0,1,5,2,Sub-Saharan Africa
Burkina Faso,2018.0,8360,29.0,39.0,37.0,55.0,5.0,38.0,60.0,14.201149425287356,39.0,43.0,20.0,36.0,1,5,2,Sub-Saharan Africa
Burkina Faso,2019.0,8580,29.0,39.0,37.0,57.0,5.0,36.0,61.0,14.201149425287356,37.0,43.0,18.0,37.0,1,5,2,Sub-Saharan Africa
Burkina Faso,2021.0,9049,31.0,39.0,38.0,61.0,5.0,33.0,61.0,5.0,32.0,45.0,15.0,39.0,1,5,2,Sub-Saharan Africa
Burundi,2016.0,3824,12.0,43.0,39.0,45.0,15.381578947368421,54.0,42.0,14.201149425287356,57.0,52.0,16.0,31.0,1,2,2,Sub-Saharan Africa
Burundi,2017.0,3743,12.0,45.0,36.0,45.0,1.0,52.0,43.0,14.201149425287356,56.0,52.0,21.0,26.0,1,2,2,Sub-Saharan Africa
Burundi,2018.0,3880,13.0,46.0,35.0,45.0,3.0,51.0,44.0,14.201149425287356,54.0,52.0,27.0,20.0,1,2,2,Sub-Saharan Africa
Burundi,2019.0,4024,13.0,46.0,35.0,45.0,4.0,49.0,44.0,2.0,52.0,52.0,33.0,14.0,1,2,2,Sub-Saharan Africa
Burundi,2021.0,4318,14.0,46.0,36.0,45.0,7.0,46.0,44.0,5.0,49.0,52.0,39.0,8.0,1,2,2,Sub-Saharan Africa
Cabo Verde,2016.0,154,64.0,40.0,39.0,61.92619926199262,15.381578947368421,2.0,60.497835497835496,14.201149425287356,3.0,71.16756756756757,16.292857142857144,20.82051282051282,1,5,2,Sub-Saharan Africa
Cabo Verde,2017.0,154,65.0,39.0,39.0,61.92619926199262,15.381578947368421,1.0,60.497835497835496,14.201149425287356,1.0,71.16756756756757,16.292857142857144,20.82051282051282,1,5,2,Sub-Saharan Africa
Cabo Verde,2018.0,154,65.0,39.0,39.0,61.92619926199262,15.381578947368421,1.0,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,1,5,2,Sub-Saharan Africa
Cabo Verde,2019.0,154,66.0,40.0,38.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,1,5,2,Sub-Saharan Africa
Cabo Verde,2021.0,153,67.0,41.0,39.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,1,5,2,Sub-Saharan Africa
Cambodia,2016.0,4770,22.0,40.0,37.0,75.0,2.0,21.0,82.0,3.0,13.0,82.0,16.292857142857144,16.0,5,6,5,Eastern and South-Eastern Asia
Cambodia,2017.0,4802,22.0,40.0,37.0,75.0,2.0,21.0,82.0,3.0,13.0,82.0,16.292857142857144,16.0,5,6,5,Eastern and South-Eastern Asia
Cambodia,2018.0,4837,23.0,41.0,36.0,75.0,2.0,21.0,82.0,3.0,13.0,82.0,16.292857142857144,16.0,5,6,5,Eastern and South-Eastern Asia
Cambodia,2019.0,4876,23.0,41.0,36.0,75.0,2.0,21.0,82.0,3.0,13.0,82.0,16.292857142857144,16.0,5,6,5,Eastern and South-Eastern Asia
Cambodia,2021.0,4962,24.0,41.0,37.0,75.0,2.0,21.0,82.0,3.0,13.0,82.0,16.292857142857144,16.0,5,6,5,Eastern and South-Eastern Asia
Cameroon,2016.0,8971,55.0,43.0,40.0,37.0,14.0,48.0,37.0,9.0,52.0,71.16756756756757,16.292857142857144,20.82051282051282,1,5,2,Sub-Saharan Africa
Cameroon,2017.0,9212,55.0,43.0,41.0,37.0,18.0,44.0,37.0,13.0,49.0,71.16756756756757,16.292857142857144,20.82051282051282,1,5,2,Sub-Saharan Africa
